-----------------------------------------------------------------------------------------------------
21日00时14分15秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日00时15分41秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日00时15分44秒Info:System');"成功[BP.Sys.ToolbarExcel-518]放入缓存。
21日00时15分47秒Info:System');"成功[BP.Sys.ToolbarExcel-518]放入缓存。
21日00时15分47秒Info:System');"成功[BP.Sys.ToolbarExcel-518]放入缓存。
21日00时15分47秒Info:System');"成功[BP.Sys.ToolbarExcel-518]放入缓存。
21日00时15分53秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日00时15分53秒Info:System');"成功[BP.WF.Flow-101]放入缓存。
21日00时15分53秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日00时16分01秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日00时16分01秒Info:System');"成功[BP.WF.Flow-101]放入缓存。
21日00时16分01秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1390        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17001')) AS X ) AND FK_MapData='ND17001',异常信息:列名 'GroupID' 无效。
21日00时16分01秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1408        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17002')) AS X ) AND FK_MapData='ND17002',异常信息:列名 'GroupID' 无效。
21日00时16分01秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1410        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17003')) AS X ) AND FK_MapData='ND17003',异常信息:列名 'GroupID' 无效。
21日00时16分01秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1412        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17004')) AS X ) AND FK_MapData='ND17004',异常信息:列名 'GroupID' 无效。
21日00时16分01秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1414        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17005')) AS X ) AND FK_MapData='ND17005',异常信息:列名 'GroupID' 无效。
-----------------------------------------------------------------------------------------------------
21日11时46分07秒Info:System');"----------------------------------  start ------------------ 
21日11时46分07秒Info:System');"----------------------------------  end ------------------ 
21日11时46分07秒Info:System');"----------------------------------  start ------------------ 
21日11时46分07秒Info:System');"----------------------------------  end ------------------ 
21日11时46分11秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日11时47分47秒Info:System');"成功[BP.WF.Flow-102]放入缓存。
21日11时47分48秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=1416        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND17101')) AS X ) AND FK_MapData='ND17101',异常信息:列名 'GroupID' 无效。
21日11时48分50秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日11时48分50秒Info:System');"成功[BP.WF.Flow-102]放入缓存。
21日11时48分50秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=638        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND501')) AS X ) AND FK_MapData='ND501',异常信息:列名 'GroupID' 无效。
21日11时48分50秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=640        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND502')) AS X ) AND FK_MapData='ND502',异常信息:列名 'GroupID' 无效。
21日11时48分50秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=641        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND599')) AS X ) AND FK_MapData='ND599',异常信息:列名 'GroupID' 无效。
21日11时48分59秒Info:System');"成功[BP.Port.Dept-6]放入缓存。
21日11时52分32秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
21日11时54分07秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
21日11时54分07秒Info:System');"成功[BP.WF.Flow-102]放入缓存。
21日11时54分08秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=335        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND11801')) AS X ) AND FK_MapData='ND11801',异常信息:列名 'GroupID' 无效。
21日11时54分08秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=336        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND11802')) AS X ) AND FK_MapData='ND11802',异常信息:列名 'GroupID' 无效。
21日11时54分08秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=338        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND11803')) AS X ) AND FK_MapData='ND11803',异常信息:列名 'GroupID' 无效。
21日11时54分08秒Info:System');"SQL=UPDATE Sys_MapDtl SET GroupID=339        WHERE  No   IN (SELECT X.No FROM (SELECT No FROM Sys_MapDtl WHERE GroupID NOT IN (SELECT OID FROM Sys_GroupField WHERE EnName='ND11804')) AS X ) AND FK_MapData='ND11804',异常信息:列名 'GroupID' 无效。
21日11时55分01秒Info:System');"成功[BP.Port.Dept-6]放入缓存。
21日11时56分52秒Info:System');"成功[BP.Sys.EnCfg-8]放入缓存。
