-----------------------------------------------------------------------------------------------------
15日09时03分14秒Fatal:System');"SQL=SELECT CONSTRAINT_NAME,column_name FROM INFORMATION_SCHEMA.KEY_COLUMN_USAGE WHERE table_name =@Tab  Exception=事务(进程 ID 53)与另一个进程被死锁在 锁 资源上，并且已被选作死锁牺牲品。请重新运行该事务。
15日09时04分37秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.WF.Rpt.RptDfine
15日09时04分46秒Fatal:System');"@没有[年月  Pub_NY, 类[BP.Pub.NY], 物理表[Pub_NY] 实例。PK = 2019-11
15日09时04分46秒Fatal:System');"@没有[年月  Pub_NY, 类[BP.Pub.NY], 物理表[Pub_NY] 实例。PK = 2019-10
15日09时04分49秒Fatal:System');"@没有[年月  Pub_NY, 类[BP.Pub.NY], 物理表[Pub_NY] 实例。PK = 2019-09
15日09时04分49秒Fatal:System');"@没有[年月  Pub_NY, 类[BP.Pub.NY], 物理表[Pub_NY] 实例。PK = 2019-10
15日10时07分36秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrDT
15日10时59分45秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.WF.Rpt.RptDfine
15日11时50分18秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.WF.Rpt.RptDfine
15日14时31分18秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.WF.Rpt.RptDfine
15日14时31分55秒Fatal:System');"SQL=SELECT WFState "WFState", count(*) "Group_Number" FROM ND115Rpt LEFT JOIN Port_Dept AS Port_Dept_FK_Dept ON ND115Rpt.FK_Dept=Port_Dept_FK_Dept.No LEFT JOIN Pub_NY AS Pub_NY_FK_NY ON ND115Rpt.FK_NY=Pub_NY_FK_NY.No WHERE (1=1) AND ( ( ND115Rpt.FlowStarter =@FlowStarter) AND ( ( 1=1 ) ) AND WFState > 1 )  GROUP BY WFState Exception=对象名 'ND115Rpt' 无效。
15日14时31分57秒Fatal:System');"SQL=SELECT WFSta "WFSta",WFState "WFState", count(*) "Group_Number" FROM ND115Rpt LEFT JOIN Port_Dept AS Port_Dept_FK_Dept ON ND115Rpt.FK_Dept=Port_Dept_FK_Dept.No LEFT JOIN Pub_NY AS Pub_NY_FK_NY ON ND115Rpt.FK_NY=Pub_NY_FK_NY.No WHERE (1=1) AND ( ( ND115Rpt.FlowStarter =@FlowStarter) AND ( ( 1=1 ) ) AND WFState > 1 )  GROUP BY WFSta,WFState Exception=对象名 'ND115Rpt' 无效。
15日14时32分00秒Fatal:System');"SQL=SELECT WFSta "WFSta",WFState "WFState", count(*) "Group_Number", round ( SUM(FlowDaySpan), 4) "FlowDaySpan" FROM ND115Rpt LEFT JOIN Port_Dept AS Port_Dept_FK_Dept ON ND115Rpt.FK_Dept=Port_Dept_FK_Dept.No LEFT JOIN Pub_NY AS Pub_NY_FK_NY ON ND115Rpt.FK_NY=Pub_NY_FK_NY.No WHERE (1=1) AND ( ( ND115Rpt.FlowStarter =@FlowStarter) AND ( ( 1=1 ) ) AND WFState > 1 )  GROUP BY WFSta,WFState Exception=对象名 'ND115Rpt' 无效。
15日14时34分27秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.WF.Data.GenerWorkFlowViews
15日14时34分57秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.WF.Data.GenerWorkFlowViews
15日14时37分19秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.WF.Data.GenerWorkFlowViews
15日14时38分05秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.WF.Data.GenerWorkFlowView
15日15时35分08秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrEnum
15日15时36分22秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrEnum
