-----------------------------------------------------------------------------------------------------
20日12时08分00秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日12时09分42秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrEnum
20日12时11分25秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日13时42分48秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日14时03分43秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日14时08分07秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrEnum
20日14时11分20秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日14时27分19秒Fatal:System');"@没有[部门  Port_Dept, 类[BP.Port.Dept], 物理表[Port_Dept] 实例。PK = 3000000
20日14时27分27秒Fatal:System');"@没有[部门  Port_Dept, 类[BP.Port.Dept], 物理表[Port_Dept] 实例。PK = 3000000
20日14时27分35秒Fatal:System');"@没有[部门  Port_Dept, 类[BP.Port.Dept], 物理表[Port_Dept] 实例。PK = 3000000
20日14时27分50秒Fatal:System');"@没有[部门  Port_Dept, 类[BP.Port.Dept], 物理表[Port_Dept] 实例。PK = 3000000
20日14时35分56秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日14时36分44秒Fatal:System');"@没有[部门  Port_Dept, 类[BP.Port.Dept], 物理表[Port_Dept] 实例。PK = 3000000
20日14时39分17秒Fatal:System');"@没有[部门  Port_Dept, 类[BP.Port.Dept], 物理表[Port_Dept] 实例。PK = 3000000
20日14时39分26秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日15时14分07秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日15时48分44秒Fatal:System');"@没有[部门  Port_Dept, 类[BP.Port.Dept], 物理表[Port_Dept] 实例。PK = 3000000
20日15时48分50秒Fatal:System');"@没有[部门  Port_Dept, 类[BP.Port.Dept], 物理表[Port_Dept] 实例。PK = 3000000
20日15时48分56秒Fatal:System');"@没有[部门  Port_Dept, 类[BP.Port.Dept], 物理表[Port_Dept] 实例。PK = 3000000
20日15时49分05秒Fatal:System');"@没有[部门  Port_Dept, 类[BP.Port.Dept], 物理表[Port_Dept] 实例。PK = 3000000
20日17时36分04秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日17时43分46秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日17时47分26秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日17时49分13秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日17时50分17秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
20日17时51分20秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrString
