-----------------------------------------------------------------------------------------------------
08日11时46分56秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrEnum
08日11时47分07秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrEnum
08日11时48分34秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrEnum
08日11时49分19秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrEnum
08日11时49分34秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrEnum
-----------------------------------------------------------------------------------------------------
08日11时51分34秒Fatal:System');"@运行查询在(RunSQLReturnTable_200705_Ora with paras)出错 sql=SELECT 1+2 FROM DUAL  @异常信息：ORA-12541: TNS: 无监听程序@Para Num= 0
08日11时51分35秒Fatal:System');"@运行查询在(RunSQLReturnTable_200705_Ora with paras)出错 sql=select object_name from all_objects WHERE  object_name = upper(:obj) and OWNER='CCFLOW6'  @异常信息：ORA-12541: TNS: 无监听程序@Para Num= 1@obj=Port_Emp
-----------------------------------------------------------------------------------------------------
08日14时08分21秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrEnum
08日14时08分21秒Fatal:System');"@运行查询在(RunSQLReturnTable_200705_Ora with paras)出错 sql=SELECT '-1' AS No, '-无(不选择)-' as Name FROM DUAL  union SELECT  IntKey as No, Lab as Name FROM Sys_Enum where EnumKey='BGWLSQLX' @异常信息：ORA-01790: 表达式必须具有与对应表达式相同的数据类型@Para Num= 0
08日14时08分21秒Fatal:System');"@运行查询在(RunSQLReturnTable_200705_Ora with paras)出错 sql=SELECT '-1' AS No, '-无(不选择)-' as Name FROM DUAL  union SELECT  IntKey as No, Lab as Name FROM Sys_Enum where EnumKey='BGWLSQLX' @异常信息：ORA-01790: 表达式必须具有与对应表达式相同的数据类型@Para Num= 0
08日14时08分40秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrEnum
08日14时08分41秒Fatal:System');"@运行查询在(RunSQLReturnTable_200705_Ora with paras)出错 sql=SELECT '-1' AS No, '-无(不选择)-' as Name FROM DUAL  union SELECT  IntKey as No, Lab as Name FROM Sys_Enum where EnumKey='BGWLSQLX' @异常信息：ORA-01790: 表达式必须具有与对应表达式相同的数据类型@Para Num= 0
08日14时08分41秒Fatal:System');"@运行查询在(RunSQLReturnTable_200705_Ora with paras)出错 sql=SELECT '-1' AS No, '-无(不选择)-' as Name FROM DUAL  union SELECT  IntKey as No, Lab as Name FROM Sys_Enum where EnumKey='BGWLSQLX' @异常信息：ORA-01790: 表达式必须具有与对应表达式相同的数据类型@Para Num= 0
08日14时09分24秒Fatal:System');"@没有[实体配置  Sys_EnCfg, 类[BP.Sys.EnCfg], 物理表[Sys_EnCfg] 实例。PK = BP.Sys.FrmUI.MapAttrEnum
08日14时09分24秒Fatal:System');"@运行查询在(RunSQLReturnTable_200705_Ora with paras)出错 sql=SELECT '-1' AS No, '-无(不选择)-' as Name FROM DUAL  union SELECT  IntKey as No, Lab as Name FROM Sys_Enum where EnumKey='BGWLSQLX' @异常信息：ORA-01790: 表达式必须具有与对应表达式相同的数据类型@Para Num= 0
08日14时09分24秒Fatal:System');"@运行查询在(RunSQLReturnTable_200705_Ora with paras)出错 sql=SELECT '-1' AS No, '-无(不选择)-' as Name FROM DUAL  union SELECT  IntKey as No, Lab as Name FROM Sys_Enum where EnumKey='BGWLSQLX' @异常信息：ORA-01790: 表达式必须具有与对应表达式相同的数据类型@Para Num= 0
-----------------------------------------------------------------------------------------------------
08日14时17分57秒Fatal:System');"SQL= SELECT  TOP 1  Sys_MapData.No,ISNULL(Sys_MapData.FrmType,0)   FrmType, CASE Sys_MapData.FrmType WHEN 0 THEN '傻瓜表单' WHEN 1 THEN '自由表单' WHEN NULL THEN '傻瓜表单' END "FrmTypeText", Sys_MapData.PTable, Sys_MapData.Name,ISNULL(Sys_MapData.FK_FormTree, '01') FK_FormTree, Sys_FormTree_FK_FormTree.Name AS FK_FormTreeText,ISNULL(Sys_MapData.TableCol,0)   TableCol, CASE Sys_MapData.TableCol WHEN 0 THEN '4列' WHEN 1 THEN '6列' WHEN 2 THEN '上下模式3列' WHEN NULL THEN '4列' END "TableColText",ISNULL(Sys_MapData.RowOpenModel,0)   RowOpenModel, CASE Sys_MapData.RowOpenModel WHEN 0 THEN '新窗口打开' WHEN 1 THEN '在本窗口打开' WHEN 2 THEN '弹出窗口打开,关闭后不刷新列表' WHEN 3 THEN '弹出窗口打开,关闭后刷新列表' WHEN NULL THEN '新窗口打开' END "RowOpenModelText",ISNULL(Sys_MapData.EntityType,0)   EntityType, CASE Sys_MapData.EntityType WHEN 0 THEN '独立表单' WHEN 1 THEN '单据' WHEN 2 THEN '编号名称实体' WHEN 3 THEN '树结构实体' WHEN NULL THEN '独立表单' END "EntityTypeText", Sys_MapData.BillNoFormat, Sys_MapData.TitleRole, Sys_MapData.SortColumns,ISNULL(Sys_MapData.BtnNewLable, '新建') BtnNewLable,ISNULL(Sys_MapData.BtnNewModel,0)   BtnNewModel, CASE Sys_MapData.BtnNewModel WHEN 0 THEN '表格模式' WHEN 1 THEN '卡片模式' WHEN 2 THEN '不可用' WHEN NULL THEN '表格模式' END "BtnNewModelText",ISNULL(Sys_MapData.BtnSaveLable, '保存') BtnSaveLable,ISNULL(Sys_MapData.BtnSubmitLable, '提交') BtnSubmitLable,ISNULL(Sys_MapData.BtnDelLable, '删除') BtnDelLable,ISNULL(Sys_MapData.BtnSearchLabel, '列表') BtnSearchLabel,ISNULL(Sys_MapData.BtnGroupLabel, '分析') BtnGroupLabel, ISNULL( Sys_MapData.BtnGroupEnable,0) BtnGroupEnable,ISNULL(Sys_MapData.BtnPrintHtml, '打印Html') BtnPrintHtml, ISNULL( Sys_MapData.BtnPrintHtmlEnable,0) BtnPrintHtmlEnable,ISNULL(Sys_MapData.BtnPrintPDF, '打印PDF') BtnPrintPDF, ISNULL( Sys_MapData.BtnPrintPDFEnable,0) BtnPrintPDFEnable,ISNULL(Sys_MapData.BtnPrintRTF, '打印RTF') BtnPrintRTF, ISNULL( Sys_MapData.BtnPrintRTFEnable,0) BtnPrintRTFEnable,ISNULL(Sys_MapData.BtnPrintCCWord, '打印CCWord') BtnPrintCCWord, ISNULL( Sys_MapData.BtnPrintCCWordEnable,0) BtnPrintCCWordEnable,ISNULL(Sys_MapData.BtnExpZip, '导出zip文件') BtnExpZip, ISNULL( Sys_MapData.BtnExpZipEnable,0) BtnExpZipEnable,ISNULL(Sys_MapData.BtnRefBill, '关联单据') BtnRefBill,ISNULL(Sys_MapData.RefBillRole,0)   RefBillRole, CASE Sys_MapData.RefBillRole WHEN 0 THEN '不启用' WHEN 1 THEN '非必须选择关联单据' WHEN 2 THEN '必须选择关联单据' WHEN NULL THEN '不启用' END "RefBillRoleText", Sys_MapData.RefBill,ISNULL(Sys_MapData.BtnImpExcel, '导入Excel文件') BtnImpExcel, ISNULL(Sys_MapData.BtnImpExcelEnable,1) BtnImpExcelEnable,ISNULL(Sys_MapData.BtnExpExcel, '导出Excel文件') BtnExpExcel, ISNULL(Sys_MapData.BtnExpExcelEnable,1) BtnExpExcelEnable, Sys_MapData.Designer, Sys_MapData.DesignerContact, Sys_MapData.DesignerUnit, Sys_MapData.GUID, Sys_MapData.Ver, Sys_MapData.Note,ISNULL(Sys_MapData.Idx,100)   Idx, Sys_MapData.Tag0, Sys_MapData.Tag1, Sys_MapData.Tag2, Sys_MapData.AtPara FROM Sys_MapData LEFT JOIN Sys_FormTree AS Sys_FormTree_FK_FormTree ON Sys_MapData.FK_FormTree=Sys_FormTree_FK_FormTree.No WHERE (1=1)  AND Sys_MapData.No=@No Exception=列名 'BtnSubmitLable' 无效。
08日14时18分01秒Info:System');"SQL=UPDATE Frm_CtrlModel SET FrmID='Bill_CeShi1',CtrlObj='BtnNew',IsEnableAll=1,IsEnableStation=0,IsEnableDept=0,IsEnableUser=0,IDOfUsers='',IDOfStations='',IDOfDepts='' WHERE Frm_CtrlModel.MyPK='Bill_CeShi1_BtnNew',异常信息:对象名 'Frm_CtrlModel' 无效。
08日14时18分01秒Fatal:System');"执行sql错误:SQL=UPDATE Frm_CtrlModel SET FrmID='Bill_CeShi1',CtrlObj='BtnNew',IsEnableAll=1,IsEnableStation=0,IsEnableDept=0,IsEnableUser=0,IDOfUsers='',IDOfStations='',IDOfDepts='' WHERE Frm_CtrlModel.MyPK='Bill_CeShi1_BtnNew',异常信息:对象名 'Frm_CtrlModel' 无效。 Paras(10)=@MyPK=Bill_CeShi1_BtnNew,String@FrmID=Bill_CeShi1,String@CtrlObj=BtnNew,String@IsEnableAll=1,Int32@IsEnableStation=0,Int32@IsEnableDept=0,Int32@IsEnableUser=0,Int32@IDOfUsers=,String@IDOfStations=,String@IDOfDepts=,String<hr>UPDATE Frm_CtrlModel SET FrmID='Bill_CeShi1',CtrlObj='BtnNew',IsEnableAll='1',IsEnableStation='0',IsEnableDept='0',IsEnableUser='0',IDOfUsers='',IDOfStations='',IDOfDepts='' WHERE Frm_CtrlModel.MyPK='Bill_CeShi1_BtnNew'
