-----------------------------------------------------------------------------------------------------
26日10时09分18秒Info:System');"SQL=DROP INDEX Dict_FF_OID ON Dict_FF,异常信息:无法对 索引 'Dict_FF.Dict_FF_OID' 执行 删除，因为它不存在，或者您没有所需的权限。
-----------------------------------------------------------------------------------------------------
26日10时26分38秒Info:System');"SQL=DROP INDEX AA_OID ON AA,异常信息:无法对 索引 'AA.AA_OID' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分10秒Info:System');"SQL=DROP INDEX Sys_FrmRB_MyPK ON Sys_FrmRB,异常信息:无法对 索引 'Sys_FrmRB.Sys_FrmRB_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分11秒Info:System');"SQL=DROP INDEX Port_Emp_No ON Port_Emp,异常信息:无法对 索引 'Port_Emp.Port_Emp_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分11秒Fatal:System');"SQL= SELECT TOP 99999 MyPK, Lab, EnumKey,ISNULL(IntKey,0) IntKey,ISNULL(Lang, 'CH') Lang FROM Sys_Enum WHERE (1=1) AND ( ( Sys_Enum.EnumKey =@EnumKey) AND ( Sys_Enum.Lang =@Lang) ) ORDER BY Sys_Enum.IntKey Exception=对象名 'Sys_Enum' 无效。
26日10时27分12秒Info:System');"SQL=DROP INDEX Sys_Enum_MyPK ON Sys_Enum,异常信息:无法对 索引 'Sys_Enum.Sys_Enum_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分12秒Info:System');"SQL=DROP INDEX Port_Dept_No ON Port_Dept,异常信息:无法对 索引 'Port_Dept.Port_Dept_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分13秒Info:System');"SQL=DROP INDEX Port_Station_No ON Port_Station,异常信息:无法对 索引 'Port_Station.Port_Station_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分13秒Info:System');"SQL=DROP INDEX Port_StationType_No ON Port_StationType,异常信息:无法对 索引 'Port_StationType.Port_StationType_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分13秒Info:System');"SQL=DROP INDEX Port_DeptEmp_MyPK ON Port_DeptEmp,异常信息:无法对 索引 'Port_DeptEmp.Port_DeptEmp_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分13秒Info:System');"SQL=DROP INDEX Port_DeptEmpStation_MyPK ON Port_DeptEmpStation,异常信息:无法对 索引 'Port_DeptEmpStation.Port_DeptEmpStation_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分15秒Info:System');"SQL=DROP INDEX WF_Emp_No ON WF_Emp,异常信息:无法对 索引 'WF_Emp.WF_Emp_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分18秒Info:System');"SQL=DROP INDEX WF_Flow_No ON WF_Flow,异常信息:无法对 索引 'WF_Flow.WF_Flow_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分18秒Info:System');"SQL=DROP INDEX WF_Node_NodeID ON WF_Node,异常信息:无法对 索引 'WF_Node.WF_Node_NodeID' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分19秒Info:System');"SQL=DROP INDEX Sys_MapDtl_No ON Sys_MapDtl,异常信息:无法对 索引 'Sys_MapDtl.Sys_MapDtl_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分23秒Info:System');"SQL=DROP INDEX Sys_MapAttr_MyPK ON Sys_MapAttr,异常信息:无法对 索引 'Sys_MapAttr.Sys_MapAttr_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分24秒Info:System');"SQL=DROP INDEX WF_GenerWorkFlow_WorkID ON WF_GenerWorkFlow,异常信息:无法对 索引 'WF_GenerWorkFlow.WF_GenerWorkFlow_WorkID' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分24秒Info:System');"SQL=DROP INDEX WF_CH_MyPK ON WF_CH,异常信息:无法对 索引 'WF_CH.WF_CH_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分28秒Info:System');"SQL=DROP INDEX Sys_WFSealData_MyPK ON Sys_WFSealData,异常信息:无法对 索引 'Sys_WFSealData.Sys_WFSealData_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分29秒Info:System');"SQL=DROP INDEX Sys_UserRegedit_MyPK ON Sys_UserRegedit,异常信息:无法对 索引 'Sys_UserRegedit.Sys_UserRegedit_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分30秒Info:System');"SQL=DROP INDEX Sys_EnVer_MyPK ON Sys_EnVer,异常信息:无法对 索引 'Sys_EnVer.Sys_EnVer_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分30秒Info:System');"SQL=DROP INDEX Sys_EnVerDtl_MyPK ON Sys_EnVerDtl,异常信息:无法对 索引 'Sys_EnVerDtl.Sys_EnVerDtl_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分31秒Info:System');"SQL=DROP INDEX Sys_ExcelField_No ON Sys_ExcelField,异常信息:无法对 索引 'Sys_ExcelField.Sys_ExcelField_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分33秒Info:System');"SQL=DROP INDEX Sys_ExcelFile_No ON Sys_ExcelFile,异常信息:无法对 索引 'Sys_ExcelFile.Sys_ExcelFile_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分33秒Info:System');"SQL=DROP INDEX Sys_ExcelSheet_No ON Sys_ExcelSheet,异常信息:无法对 索引 'Sys_ExcelSheet.Sys_ExcelSheet_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分34秒Info:System');"SQL=DROP INDEX Sys_ExcelTable_No ON Sys_ExcelTable,异常信息:无法对 索引 'Sys_ExcelTable.Sys_ExcelTable_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分34秒Info:System');"SQL=DROP INDEX Sys_FrmEvent_MyPK ON Sys_FrmEvent,异常信息:无法对 索引 'Sys_FrmEvent.Sys_FrmEvent_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分36秒Info:System');"SQL=DROP INDEX Sys_GloVar_No ON Sys_GloVar,异常信息:无法对 索引 'Sys_GloVar.Sys_GloVar_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分36秒Info:System');"SQL=DROP INDEX Sys_MapFrame_MyPK ON Sys_MapFrame,异常信息:无法对 索引 'Sys_MapFrame.Sys_MapFrame_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分37秒Info:System');"SQL=DROP INDEX Sys_FormTree_No ON Sys_FormTree,异常信息:无法对 索引 'Sys_FormTree.Sys_FormTree_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分37秒Info:System');"SQL=DROP INDEX Sys_MapData_No ON Sys_MapData,异常信息:无法对 索引 'Sys_MapData.Sys_MapData_No' 执行 删除，因为它不存在，或者您没有所需的权限。
26日10时27分39秒Info:System');"SQL=DROP INDEX WF_FrmNode_MyPK ON WF_FrmNode,异常信息:无法对 索引 'WF_FrmNode.WF_FrmNode_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
