-----------------------------------------------------------------------------------------------------
09日15时57分44秒Info:System');"成功[BP.WF.Flow-95]放入缓存。
-----------------------------------------------------------------------------------------------------
09日18时07分16秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
09日18时12分48秒Info:System');"成功[BP.Sys.EnCfg-6]放入缓存。
09日18时12分54秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
09日18时12分54秒Info:System');"成功[BP.WF.Flow-95]放入缓存。
09日18时12分56秒Info:System');"SQL=ALTER TABLE  ND2Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND2Track' 中多次指定了列名 'Tag'。
09日18时13分18秒Info:System');"成功[BP.Port.Dept-15]放入缓存。
-----------------------------------------------------------------------------------------------------
09日18时17分09秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
-----------------------------------------------------------------------------------------------------
09日18时17分27秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
-----------------------------------------------------------------------------------------------------
09日18时18分24秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
09日18时19分46秒Info:System');"成功[BP.WF.Rpt.MapRpt-669]放入缓存。
09日18时19分46秒Info:System');"成功[BP.WF.Flow-95]放入缓存。
09日18时19分59秒Info:System');"成功[BP.Port.Dept-15]放入缓存。
09日18时28分25秒Info:System');"成功[BP.Sys.EnCfg-6]放入缓存。
09日18时34分11秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
09日18时34分11秒Info:System');"成功[BP.WF.Flow-95]放入缓存。
09日18时34分12秒Info:System');"SQL=ALTER TABLE  ND2Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND2Track' 中多次指定了列名 'Tag'。
09日18时34分26秒Info:System');"成功[BP.Port.Dept-15]放入缓存。
09日18时34分41秒Info:System');"成功[BP.Sys.EnCfg-6]放入缓存。
09日18时35分14秒Info:System');"SQL=ALTER TABLE  ND2Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND2Track' 中多次指定了列名 'Tag'。
09日18时47分19秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
09日18时47分19秒Info:System');"成功[BP.WF.Flow-95]放入缓存。
