-----------------------------------------------------------------------------------------------------
10日16时49分45秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
-----------------------------------------------------------------------------------------------------
10日18时06分26秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
10日18时07分35秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
10日18时07分35秒Info:System');"成功[BP.WF.Flow-95]放入缓存。
10日18时07分37秒Info:System');"SQL=ALTER TABLE  ND38Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND38Track' 中多次指定了列名 'Tag'。
10日18时07分43秒Info:System');"成功[BP.Port.Dept-15]放入缓存。
10日18时11分00秒Info:System');"成功[BP.Sys.EnCfg-6]放入缓存。
10日18时11分12秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
10日18时11分12秒Info:System');"成功[BP.WF.Flow-95]放入缓存。
10日18时11分13秒Info:System');"SQL=ALTER TABLE  ND38Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND38Track' 中多次指定了列名 'Tag'。
10日18时11分18秒Info:System');"成功[BP.Port.Dept-15]放入缓存。
-----------------------------------------------------------------------------------------------------
10日18时16分20秒Info:System');"成功[BP.WF.Flow-95]放入缓存。
-----------------------------------------------------------------------------------------------------
10日18时18分57秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
-----------------------------------------------------------------------------------------------------
10日18时21分10秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
-----------------------------------------------------------------------------------------------------
10日18时30分27秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
10日18时30分27秒Info:System');"成功[BP.WF.Flow-95]放入缓存。
-----------------------------------------------------------------------------------------------------
10日18时48分33秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
-----------------------------------------------------------------------------------------------------
10日19时02分10秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
-----------------------------------------------------------------------------------------------------
10日19时08分35秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
-----------------------------------------------------------------------------------------------------
10日19时41分09秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
10日19时41分25秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
10日19时41分25秒Info:System');"成功[BP.WF.Flow-95]放入缓存。
10日19时41分27秒Info:System');"SQL=ALTER TABLE  ND4Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND4Track' 中多次指定了列名 'Tag'。
10日19时42分41秒Info:System');"成功[BP.Sys.EnCfg-6]放入缓存。
10日19时43分09秒Info:System');"成功[BP.WF.Node-360]放入缓存。
10日19时43分30秒Info:System');"成功[BP.Port.Emp-13]放入缓存。
