-----------------------------------------------------------------------------------------------------
19日08时45分43秒Info:System');"成功[BP.Port.Emp-14]放入缓存。
-----------------------------------------------------------------------------------------------------
19日08时58分00秒Info:System');"成功[BP.Port.Emp-14]放入缓存。
19日08时58分01秒Info:System');"成功[BP.Sys.EnCfg-5]放入缓存。
19日09时22分09秒Info:System');"成功[BP.WF.Flow-96]放入缓存。
19日09时29分28秒Info:System');"成功[BP.Port.Emp-14]放入缓存。
19日09时29分28秒Info:System');"成功[BP.WF.Flow-96]放入缓存。
19日09时29分29秒Info:System');"SQL=ALTER TABLE  ND55Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND55Track' 中多次指定了列名 'Tag'。
19日09时35分16秒Info:System');"成功[BP.Sys.EnCfg-5]放入缓存。
19日09时38分34秒Info:System');"成功[BP.Port.Emp-14]放入缓存。
19日09时38分34秒Info:System');"成功[BP.WF.Flow-96]放入缓存。
19日09时38分35秒Info:System');"SQL=ALTER TABLE  ND71Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND71Track' 中多次指定了列名 'Tag'。
19日09时39分02秒Info:System');"成功[BP.Sys.EnCfg-5]放入缓存。
19日09时43分55秒Info:System');"成功[BP.Port.Emp-14]放入缓存。
19日09时43分55秒Info:System');"成功[BP.WF.Flow-96]放入缓存。
19日09时43分56秒Info:System');"SQL=ALTER TABLE  ND71Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND71Track' 中多次指定了列名 'Tag'。
19日09时44分16秒Info:System');"成功[BP.Sys.EnCfg-5]放入缓存。
19日09时44分42秒Info:System');"成功[BP.Port.Emp-14]放入缓存。
19日09时44分42秒Info:System');"成功[BP.WF.Flow-96]放入缓存。
19日09时44分43秒Info:System');"SQL=ALTER TABLE  ND71Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND71Track' 中多次指定了列名 'Tag'。
19日09时45分59秒Info:System');"成功[BP.Port.Emp-14]放入缓存。
19日09时45分59秒Info:System');"成功[BP.WF.Flow-96]放入缓存。
19日09时45分59秒Info:System');"SQL=ALTER TABLE  ND23Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND23Track' 中多次指定了列名 'Tag'。
19日09时46分04秒Info:System');"SQL=ALTER TABLE  ND23Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND23Track' 中多次指定了列名 'Tag'。
19日09时46分11秒Info:System');"成功[BP.Sys.EnCfg-5]放入缓存。
19日09时50分17秒Info:System');"成功[BP.WF.Template.TruckViewPower-96]放入缓存。
-----------------------------------------------------------------------------------------------------
19日09时55分00秒Info:System');"成功[BP.Port.Emp-14]放入缓存。
19日09时55分00秒Info:System');"成功[BP.Sys.EnCfg-5]放入缓存。
19日09时55分06秒Info:System');"成功[BP.WF.Flow-96]放入缓存。
19日09时55分07秒Info:System');"成功[BP.WF.Template.TruckViewPower-96]放入缓存。
19日09时55分16秒Fatal:System');"@没有[全局变量  Sys_GloVar, 类[BP.Sys.GloVar], 物理表[Sys_GloVar] 实例。PK = CCLoverNo
19日09时55分16秒Fatal:System');"@没有[全局变量  Sys_GloVar, 类[BP.Sys.GloVar], 物理表[Sys_GloVar] 实例。PK = CCLoverNo
19日09时58分02秒Fatal:System');"@没有[全局变量  Sys_GloVar, 类[BP.Sys.GloVar], 物理表[Sys_GloVar] 实例。PK = CCLoverNo
19日09时59分11秒Fatal:System');"@没有[全局变量  Sys_GloVar, 类[BP.Sys.GloVar], 物理表[Sys_GloVar] 实例。PK = CCLoverNo
-----------------------------------------------------------------------------------------------------
19日10时02分00秒Info:System');"成功[BP.Port.Emp-14]放入缓存。
19日10时02分06秒Info:System');"成功[BP.Sys.EnCfg-5]放入缓存。
19日10时02分10秒Info:System');"成功[BP.WF.Flow-96]放入缓存。
19日10时02分13秒Fatal:System');"@没有[全局变量  Sys_GloVar, 类[BP.Sys.GloVar], 物理表[Sys_GloVar] 实例。PK = CCLoverNo
19日10时03分40秒Fatal:System');"@没有[全局变量  Sys_GloVar, 类[BP.Sys.GloVar], 物理表[Sys_GloVar] 实例。PK = CCLoverNo
19日10时03分40秒Fatal:System');"@没有[全局变量  Sys_GloVar, 类[BP.Sys.GloVar], 物理表[Sys_GloVar] 实例。PK = CCLoverNo
19日10时04分16秒Fatal:System');"@没有[全局变量  Sys_GloVar, 类[BP.Sys.GloVar], 物理表[Sys_GloVar] 实例。PK = CCLoverNo
19日10时04分16秒Fatal:System');"@没有[全局变量  Sys_GloVar, 类[BP.Sys.GloVar], 物理表[Sys_GloVar] 实例。PK = CCLoverNo
19日10时04分53秒Info:System');"成功[BP.WF.Rpt.MapRpt-676]放入缓存。
19日10时04分57秒Info:System');"成功[BP.Port.Dept-15]放入缓存。
19日10时05分02秒Info:System');"SQL=ALTER TABLE  ND1Track ADD Tag NVARCHAR(4000) DEFAULT '' NULL,异常信息:各表中的列名必须唯一。在表 'ND1Track' 中多次指定了列名 'Tag'。
19日10时05分03秒Fatal:System');"SQL= SELECT  TOP 1  BaoXiaoRenQianMing, BM_Checker, BM_Note,BM_RDT BM_RDT,CDT CDT, DaXie, Emps, FaQiRen,FaQiShiJian FaQiShiJian,ISNULL(FID,0)   FID, FK_Dept, FK_NY, GaiYaoShuoMing, ISNULL( round(HeJi,4) ,0) AS  HeJi,ISNULL(MyNum,1)   MyNum,ISNULL(OID,0)   OID,ISNULL(PRI,2)   PRI, CASE PRI WHEN 0 THEN '低' WHEN 1 THEN '中' WHEN 2 THEN '高' WHEN NULL THEN '高' END PRITEXT,RDT RDT, Rec, SuoZaiBuMen, Title,ISNULL(ZJL_Checker, '@WebUser.Name') ZJL_Checker, ZJL_Note,ISNULL(ZJL_RDT,'@RDT') ZJL_RDT FROM ND103 WHERE (1=1) AND ND103.OID=@OID Exception=对象名 'ND103' 无效。
19日10时05分03秒Info:System');"SQL=DROP INDEX ND103ID ON ND103,异常信息:无法对 索引 'ND103.ND103ID' 执行 删除，因为它不存在，或者您没有所需的权限。
19日10时05分03秒Fatal:System');"SQL= SELECT  TOP 1  DaXie, Emps, FaQiRen,FaQiShiJian FaQiShiJian,ISNULL(FID,0)   FID, FK_Dept, FK_NY, GaiYaoShuoMing, ISNULL( round(HeJi,4) ,0) AS  HeJi,ISNULL(MyNum,1)   MyNum,ISNULL(OID,0)   OID,ISNULL(PRI,2)   PRI, CASE PRI WHEN 0 THEN '低' WHEN 1 THEN '中' WHEN 2 THEN '高' WHEN NULL THEN '高' END PRITEXT,RDT RDT, Rec, SuoZaiBuMen, Title, ZJL_Checker, ZJL_Note,ZJL_RDT ZJL_RDT, BaoXiaoRenQianMing, BM_Checker, BM_Note,BM_RDT BM_RDT,CDT CDT,ISNULL(CW_Checker, '@WebUser.Name') CW_Checker, CW_Note,ISNULL(CW_RDT,'@RDT') CW_RDT FROM ND104 WHERE (1=1) AND ND104.OID=@OID Exception=对象名 'ND104' 无效。
19日10时05分03秒Info:System');"SQL=DROP INDEX ND104ID ON ND104,异常信息:无法对 索引 'ND104.ND104ID' 执行 删除，因为它不存在，或者您没有所需的权限。
19日10时05分03秒Fatal:System');"SQL= SELECT  TOP 1  DaXie, Emps, FaQiRen,FaQiShiJian FaQiShiJian,ISNULL(FID,0)   FID, FK_Dept, FK_NY, GaiYaoShuoMing, ISNULL( round(HeJi,4) ,0) AS  HeJi,ISNULL(MyNum,1)   MyNum,ISNULL(OID,0)   OID,ISNULL(PRI,2)   PRI, CASE PRI WHEN 0 THEN '低' WHEN 1 THEN '中' WHEN 2 THEN '高' WHEN NULL THEN '高' END PRITEXT,RDT RDT, Rec, SuoZaiBuMen, Title, BaoXiaoRenQianMing, BM_Checker, BM_Note,BM_RDT BM_RDT,CDT CDT,ISNULL(CW_Checker, '@WebUser.Name') CW_Checker, CW_Note,ISNULL(CW_RDT,'@RDT') CW_RDT FROM ND199 WHERE (1=1) AND ND199.OID=@OID Exception=对象名 'ND199' 无效。
19日10时05分03秒Info:System');"SQL=DROP INDEX ND199ID ON ND199,异常信息:无法对 索引 'ND199.ND199ID' 执行 删除，因为它不存在，或者您没有所需的权限。
-----------------------------------------------------------------------------------------------------
19日10时27分27秒Info:System');"成功[BP.Port.Emp-14]放入缓存。
19日10时27分48秒Info:System');"成功[BP.WF.Flow-96]放入缓存。
19日10时27分48秒Info:System');"成功[BP.Sys.EnCfg-5]放入缓存。
19日10时33分22秒Info:System');"SQL=DROP TABLE ND503,异常信息:无法对 表 'ND503' 执行 删除，因为它不存在，或者您没有所需的权限。
19日10时54分07秒Fatal:System');"@没有[表单注册表  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = FrmWorkCheck
19日10时54分14秒Fatal:System');"@没有[表单注册表  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = FrmWorkCheck
19日10时54分22秒Fatal:System');"@没有[表单注册表  Sys_MapData, 类[BP.Sys.MapData], 物理表[Sys_MapData] 实例。PK = FrmWorkCheck
19日10时55分41秒Info:System');"成功[BP.Port.Emp-14]放入缓存。
19日10时55分41秒Info:System');"成功[BP.WF.Flow-96]放入缓存。
19日10时55分42秒Info:System');"SQL=DROP INDEX ND11801ID ON ND11801,异常信息:无法对 索引 'ND11801.ND11801ID' 执行 删除，因为它不存在，或者您没有所需的权限。
19日10时55分42秒Info:System');"SQL=DROP INDEX ND11802ID ON ND11802,异常信息:无法对 索引 'ND11802.ND11802ID' 执行 删除，因为它不存在，或者您没有所需的权限。
19日10时55分42秒Info:System');"SQL=DROP TABLE WF_Track,异常信息:无法对 表 'WF_Track' 执行 删除，因为它不存在，或者您没有所需的权限。
